abbreviation,اختصار
C\Program Files\Temp\System,تنظيم هرمي,من أعلى لأسفل,لمحركات الأقراص drives,والمجلدات folders والملفات files. فمثلا في نظام التشغيل Windows يعني الأمر
hierarchical network,شبكة هرمية البنية
Hierarchical storage,تخزين هرمي
high bit,البيتة العليا
high contrast,تباين عال
high density diskette,قريص عالي الكثافة
HDLC,تحكم عالي المستوى في نقل البيانات
high level format,تنسيق عالي المستوى
HMA,منطقة الذاكرة العليا
high pass filter,مرشح الترددات العالية
HSCSD,دائرة عالية السرعة لتوصيل البيانات
high tech,تكنولوجيا متطورة
highway,المسار السريع
highway network,شبكة اتصالات سريعة
highway width,سعة المسار السريع
hive,خلية
Hercules monochrome adapter,مهايئ عملاق أحادى اللون
hoax,خدعة
hold time,فترة الاحتجاز
Hollerith code,كود "هوليرث"
Hologram,صورة مجسمة
holographic memory,ذاكرة هولجرافية
homogeneous network,شبكة متجانسة
honey pot,وعاء العسل
hops,الوثبات
horizontal frequency,التردد الأفقي
host interface,وصلة بينية مضيفة
host language,لغة مضيفة
host node,عقدة الحاسوب المضيف
host subarea,منطقة الاستضافة
hosting,استضافة
hotfix,إصلاح ساخن
hypertext markup language,لغة وسم المتن المفرط
hyper text transfer protocol,البروتوكول التشعبي لنقل البيانات
hubbed mode,وضعية الموزع
hybrid interface,وصلة بينية مهجنة
hyper Threading,تتبع تشعبي
hyphen,واصلة
I/O bus (input/output bus),مسار تجميعي للإدخال والإخراج
I-beam pointer,مؤشر شعاعي I,مؤشر I
I-cursor,مؤشر شعاعي I,مؤشر I
internet corporation for assigned names and numbers,مؤسسة الإنترنت للأسماء والأرقام المخصصة
international computer security association,الرابطة الدولية لأمن الحواسيب
integrated drive electronics,وحدة تشغيل إلكترونية متكاملة
identity theft,سرقة الهوية
idle character,حرف انتظار
idle time,زمن اللاشغل (زمن البطالة)
IEEE standards,معايير IEEE
institute of electrical and electronics engineers,معهد مهندسي الكهرباء والإلكترونيات
internet engineering task force,قوة العمل في هندسة الإنترنت
IFF,عنصر "إذا وفقط إذا"
internet information server,خادم شبكة معلومات
iLife,آي لايف
illegal instruction,أمر غير مقبول
iMac,آي ماك
image editor,محرر الصور
image enhancement,تعزيز الصورة
image head adjuster,ضابط أمامي للصورة
image setter,محدد الصور
image storage space,مكان تخزين الصورة
image transfer,نقل الصورة
internet movie database,قاعدة الإنترنت للبيانات السينمائية
immediate access storage,ذاكرة التوصل الفوري
immediate addressing,عنونة مباشرة
inherent addressing,عنونة ضمنية
inching,تقسيم دقيق
OR-Gate,بوابة "أو"
OR operation,عملية "أو"
incremental plotter,رسام بخطوات
index mark,علامة الدليل
index register,مسجل المؤشر
indexed addressing,عنونة بمؤشر
indexed file,ملف مفهرس
ineffective time,فترة زمنية غير فعالة
infobahn,طريق معلومات (إنفوبان)
infomercial,معلومات تجارية
information browsing,نظام استعراض المعلومات
information feedback system,نظام التغذية الراجعة للمعلومات
information interchange,تبادل المعلومات
information lens,عدسة المعلومات
IMS,نظام إدارة المعلومات
information security,أمن المعلومات
IS,فاصل المعلومات
Information theory,نظرية المعلومات
infotainment,المعلومات والترفيه
infra-red port,منفذ للأشعة تحت الحمراء
implied addressing,عنونة ضمنية
inherent error,خطأ متأصل
inhibit signal,إشارة منع
inlining,إدخال سطري
I/O,مدخل / مخرج,منفذ إدخال وإخراج
input / output register,مسجل المدخلات والمخرجات
input / output units,وحدات المدخلات والمخرجات
IEEE,معهد مهندسي الكهرباء والإلكترونيات
instruction cycle,دورة الأمر
instruction register,مسجل الأمر
integer variable,متغير صحيح
IC,دائرة متكاملة
internet network information centre,مركز معلومات شبكة الإنترنت
Interactive graphics,رسوم متفاعلة
interactive processing,تشغيل تفاعلي
interleaving memory,ذاكرة متوالفة
ICSA,الرابطة الدولية لأمن الحاسبات
international fora,المنتديات الدولية
ITU,الاتحاد الدولي للاتصالات
IP,بروتوكول إنترنت
interpretive language,لغة للترجمة الفورية
IH,مناولة المقاطعة
interrupt mask,حجب المقاطعة
interrupt priority,أولوية المقاطعة
interrupt vector,متجه المقاطعة
interruption network,شبكة المقاطعة
interval timer,مؤقت فترات
negator,نافية
IPNG,الجيل التالي لبروتوكول الإنترنت
iPad,آي باد
iphone,آي فون
information processing language,لغة معالجة المعلومات
initial program loading,التحميل الابتدائي لبرنامج
ipod,أي بود
iPODCAST,البث الآيبودي,البث البودي
internet packet exchange,مبدل حزم إنترنت
chatting,دردشة إنترنت
IRGB (intensity,آي آر جي بي ( شدة الأحمر والأخضر والأزرق )
blue),آي آر جي بي ( شدة الأحمر والأخضر والأزرق ),أحمر   أخضر   أزرق
irrecoverable read error,خطأ قراءة لا تتدارك
industry standard architecture,البنية الصناعية القياسية
integrated service digital network,شبكة رقمية متكاملة الخدمات
isentrope,خط تساوي الانتروبيا
ISO -7,أيزو  7
international standard organization,المنظمة الدولية للتوحيد القياسي
internet society,مجتمع الإنترنت
internet architecture board,منظمة دولية تتكون من الأفراد,والشركات,والمؤسسات,والمنظمات الحكومية التي تهتم بأمور استخدام شبكة الإنترنت وتطويرها. ومن المنظمات المنبثقة عنها ما يأتي
isochronous system,نظام متساوي الفترات الزمنية
isochronous transmission,نقل متساوي الفترات الزمنية
isometric view,مشهد أيزومتري (متساو في القياس )
ISONET,شبكة الأيزو
iterative operation,عملية تكرارية
Interactive television,التليفزيون التفاعلي
Job control Language,لغة التحكم في الشغلة
JK-flip-flop,دائرة قلابة JK
JCL,لغة تحكم في الشغلة
JECS,خدمات مركزية لأوامر التغذية
job file,ملف شغلة
job mix,خلطة شغلات
job priority,أولوية التشغيل
job queue,طابور الشغلات
job scheduling,جدلة الشغلات
job stream,دفقة الشغلات
joggling,ترتيب البطاقات
Josephson junction,وصلة جوزيفسن
journal file,ملف اليومية
JOVIAL,جوفيال
joint photographic experts group,المجموعة المشتركة لخبراء التصوير الفوتوجرافي
conditioned,قفز مشروط
unconditional,قفز غير مشروط
junctor,رابط
K (kilo),ك (كيلو)
Karnaugh map,جدول "كارنوف"
KB,كيلو بايت
key to disk,من المفتاح إلى القرص
key to tape,من المفتاح إلى الشريط
keypad,قرصة مفاتيح
keypunch,آلة تثقيب
L8R,مؤخرا
tape,شارة الشريط,ناقلة الشريط
LAN gateway,وصلة بوابية للشبكات المحلية
link access protocol,بروتوكول التوصل للبيانات
large scale integration,تجميع كبير
laser measuring system,نظام قياس ليزرى
push-down list,رصة
latency period,فترة الكمون
leaf node,عقدة طرفية
leap frog test,اختبار وثبي
leased channel,قناة مؤجرة
leased circuit,دائرة مستأجرة
